timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742164847232,181,POST Request//character new,201,Created,Thread Group 100 1-64,text,true,,273,222,52,52,http://localhost:8080/character,181,0,0
1742164847232,182,GET  Request/character/id,404,Not Found,Thread Group 100 1-66,text,false,,273,128,52,52,http://localhost:8080/character/6,182,0,0
1742164847232,184,POST Request//character new,201,Created,Thread Group 100 1-62,text,true,,273,222,52,52,http://localhost:8080/character,184,0,0
1742164847232,185,PUT Request/character/id edit,404,Not Found,Thread Group 100 1-63,text,false,,273,220,52,52,http://localhost:8080/character/2,185,0,0
1742164847232,186,DELETE Request delete,404,Not Found,Thread Group 100 1-55,text,false,,273,182,52,52,http://localhost:8080/character/7,186,0,0
1742164847234,188,DELETE Request delete,404,Not Found,Thread Group 100 1-21,text,false,,273,182,51,51,http://localhost:8080/character/7,188,0,0
1742164847234,189,DELETE Request delete,404,Not Found,Thread Group 100 1-20,text,false,,273,182,50,50,http://localhost:8080/character/7,189,0,0
1742164846017,1337,GET Request/characters ,200,OK,Thread Group 100 1-93,text,true,,2075,127,52,52,http://localhost:8080/characters,1337,0,1
1742164847234,211,DELETE Request delete,404,Not Found,Thread Group 100 1-22,text,false,,273,182,49,49,http://localhost:8080/character/8,211,0,0
1742164847234,216,DELETE Request delete,404,Not Found,Thread Group 100 1-23,text,false,,273,183,48,48,http://localhost:8080/character/10,216,0,0
1742164847234,219,DELETE Request delete,404,Not Found,Thread Group 100 1-24,text,false,,273,182,47,47,http://localhost:8080/character/3,219,0,0
1742164847235,227,DELETE Request delete,404,Not Found,Thread Group 100 1-25,text,false,,273,182,46,46,http://localhost:8080/character/6,227,0,0
1742164847235,227,DELETE Request delete,404,Not Found,Thread Group 100 1-27,text,false,,273,182,46,46,http://localhost:8080/character/2,227,0,0
1742164847235,230,DELETE Request delete,404,Not Found,Thread Group 100 1-28,text,false,,273,183,44,44,http://localhost:8080/character/10,229,0,0
1742164847235,230,DELETE Request delete,404,Not Found,Thread Group 100 1-26,text,false,,273,182,44,44,http://localhost:8080/character/6,229,0,0
1742164847235,232,DELETE Request delete,404,Not Found,Thread Group 100 1-29,text,false,,273,182,42,42,http://localhost:8080/character/6,232,0,0
1742164847235,236,DELETE Request delete,404,Not Found,Thread Group 100 1-30,text,false,,273,183,41,41,http://localhost:8080/character/10,236,0,0
1742164847235,238,DELETE Request delete,404,Not Found,Thread Group 100 1-32,text,false,,273,182,40,40,http://localhost:8080/character/5,238,0,0
